model,task,mean_std,mean_score,n_configs
FacebookAI_roberta-base,CR,0.23007124351254069,89.54745663265307,392
FacebookAI_roberta-base,MPQA,0.14599277386659157,87.87049489795918,392
FacebookAI_roberta-base,MR,0.1676633627404045,84.84446173469388,392
FacebookAI_roberta-base,SUBJ,0.12040083118204667,95.45583928571428,392
answerdotai_ModernBERT-base,CR,0.25246960717705097,83.41983333333333,378
answerdotai_ModernBERT-base,MPQA,0.18988826078946155,84.1697671957672,378
answerdotai_ModernBERT-base,MR,0.16053244254244523,77.60913227513228,378
answerdotai_ModernBERT-base,SUBJ,0.13266762117148823,93.1482962962963,378
google-bert_bert-base-uncased,CR,0.34160012847285254,86.17864814814814,378
google-bert_bert-base-uncased,MPQA,0.17482409361858806,88.1961851851852,378
google-bert_bert-base-uncased,MR,0.19118027485487749,81.75747883597884,378
google-bert_bert-base-uncased,SUBJ,0.09218697218142906,95.6794312169312,378
microsoft_deberta-v3-base,CR,0.22178158326040184,89.8243578680203,394
microsoft_deberta-v3-base,MPQA,0.13699059987877885,90.3991421319797,394
microsoft_deberta-v3-base,MR,0.14081664101664548,86.95409659090909,352
microsoft_deberta-v3-base,SST2,0.14040178515020496,89.63026190476191,42
microsoft_deberta-v3-base,SUBJ,0.13061424994370624,95.17592385786801,394
sentence-transformers_all-mpnet-base-v2,CR,0.1769171084864534,91.31302910052909,378
sentence-transformers_all-mpnet-base-v2,MPQA,0.10639806939939422,90.40725396825397,378
sentence-transformers_all-mpnet-base-v2,MR,0.15571372701139405,86.40333597883598,378
sentence-transformers_all-mpnet-base-v2,SUBJ,0.11339731979388148,96.16452380952381,378
