task,seed,stab_epoch,total_epochs,final_diff
MR,42,27,27,0.014289049431681633
MR,0,28,28,0.016437368467450142
MR,1234,29,29,0.016991760581731796
MR,2025,30,30,0.013970846310257912
MR,999,27,27,0.015485426411032677
CR,42,37,37,0.01155877485871315
CR,0,34,34,0.012458667159080505
CR,1234,27,27,0.013667728751897812
CR,2025,40,40,0.011439584195613861
CR,999,42,42,0.010433070361614227
SUBJ,42,24,24,0.013579221442341805
SUBJ,0,26,26,0.012807097285985947
SUBJ,1234,24,24,0.013749910518527031
SUBJ,2025,23,23,0.01657380349934101
SUBJ,999,21,21,0.018485043197870255
MPQA,42,30,30,0.009897932410240173
MPQA,0,19,19,0.011245165020227432
MPQA,1234,11,11,0.017872240394353867
MPQA,2025,25,25,0.009478256106376648
MPQA,999,32,32,0.004602953791618347
SST2,42,15,15,0.022265201434493065
SST2,0,10,10,0.018705012276768684
SST2,1234,12,12,0.032687833532691
SST2,2025,16,16,0.014377260580658913
SST2,999,9,9,0.02177921123802662
TREC,42,20,20,0.021398555487394333
TREC,0,23,23,0.018895111978054047
TREC,1234,24,24,0.01820378005504608
TREC,2025,23,23,0.019526559859514236
TREC,999,18,18,0.022722385823726654
MRPC,42,34,34,0.007123291492462158
MRPC,0,35,35,0.008240822702646255
MRPC,1234,22,22,0.011928308755159378
MRPC,2025,39,39,0.008207835257053375
MRPC,999,42,42,0.007292773574590683
NLI,42,44,44,0.00805661259801127
NLI,0,33,33,0.01601986651076004
NLI,1234,33,33,0.015001121209934354
NLI,2025,27,27,0.016474324511364102
NLI,999,26,26,0.018561976379714906
